train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
8.500808715820312,7.8249897956848145,0.6758188605308533,0,9,,,,,
,,,0,15,10.77353286743164,10.192471504211426,,,
,,,0,15,,,16.88745880126953,16.2120304107666,0.6754276156425476
5.209447860717773,4.607022285461426,0.6024256348609924,1,19,,,,,
3.5560755729675293,3.025315046310425,0.5307605266571045,1,29,,,,,
,,,1,31,9.525708198547363,9.12109088897705,,,
,,,1,31,,,6.417392253875732,5.847105026245117,0.5702866315841675
1.6521719694137573,1.1926161050796509,0.45955586433410645,2,39,,,,,
,,,2,47,5.858428955078125,5.5860700607299805,,,
,,,2,47,,,6.216328144073486,5.756058692932129,0.4602690041065216
7.226808547973633,6.794821739196777,0.4319866895675659,3,49,,,,,
3.8026227951049805,3.421741485595703,0.38088127970695496,3,59,,,,,
,,,3,63,5.491062164306641,5.387151718139648,,,
,,,3,63,,,4.670348644256592,4.2771172523498535,0.39323174953460693
5.602944374084473,5.315003395080566,0.28794094920158386,4,69,,,,,
4.412642002105713,4.0835418701171875,0.3291000425815582,4,79,,,,,
,,,4,79,5.3465728759765625,5.240882396697998,,,
,,,4,79,,,3.3792660236358643,3.0584933757781982,0.32077279686927795
0.8905959129333496,0.5986295938491821,0.2919663190841675,5,89,,,,,
,,,5,95,9.182451248168945,9.071310043334961,,,
,,,5,95,,,2.4897124767303467,2.1881332397460938,0.30157896876335144
0.8751403093338013,0.6432799696922302,0.23186036944389343,6,99,,,,,
6.6655144691467285,6.440776824951172,0.22473745048046112,6,109,,,,,
,,,6,111,12.476873397827148,12.364907264709473,,,
,,,6,111,,,3.178631067276001,2.8561248779296875,0.3225061595439911
0.2998930811882019,0.017055343836545944,0.28283774852752686,7,119,,,,,
,,,7,127,7.990606784820557,7.925870895385742,,,
,,,7,127,,,3.026707887649536,2.6934728622436523,0.3332345187664032
4.368200302124023,3.92118239402771,0.4470178484916687,8,129,,,,,
3.168606758117676,2.9486939907073975,0.21991266310214996,8,139,,,,,
,,,8,143,13.159148216247559,13.081849098205566,,,
,,,8,143,,,3.4994876384735107,3.1949315071105957,0.3045564889907837
0.4233706593513489,0.0019162355456501245,0.42145442962646484,9,149,,,,,
0.19225436449050903,0.00017498682427685708,0.19207938015460968,9,159,,,,,
,,,9,159,14.121744155883789,14.027944564819336,,,
,,,9,159,,,1.917263388633728,1.5808823108673096,0.3363812267780304
0.33797693252563477,0.08124352991580963,0.25673338770866394,10,169,,,,,
,,,10,175,22.00240707397461,21.935800552368164,,,
,,,10,175,,,2.1169052124023438,1.8049429655075073,0.31196266412734985
2.007847785949707,1.8019005060195923,0.2059471756219864,11,179,,,,,
0.46525949239730835,0.20517182350158691,0.26008766889572144,11,189,,,,,
,,,11,191,20.37755584716797,20.295019149780273,,,
,,,11,191,,,2.169509172439575,1.8618834018707275,0.30762606859207153
1.6165657043457031,1.3051691055297852,0.31139665842056274,12,199,,,,,
,,,12,207,15.86210823059082,15.751009941101074,,,
,,,12,207,,,2.7917983531951904,2.495110273361206,0.29668813943862915
3.7692432403564453,3.2942190170288086,0.4750242829322815,13,209,,,,,
2.9979803562164307,2.708698272705078,0.2892821133136749,13,219,,,,,
,,,13,223,23.677827835083008,23.610017776489258,,,
